Project,Segment,ClassName,CBO,DIT,ILCOM,LOC,LOD,NOM
JDBM,1,LongPackedSerializer,2,1,0,56,0,2
JDBM,1,HashtableTest,4,0,1,174,0,8
JDBM,1,Serializer0,1,0,0,17,1,2
JDBM,1,LongComparator,0,0,0,47,0,1
JDBM,1,ByteArraySerializer,1,1,0,51,0,2
JDBM,1,Event,1,0,0,6,1,0
JDBM,1,MyCacheListener,4,1,1,121,0.25,7
JDBM,1,StringSerializer,2,1,0,51,0,2
JDBM,1,TupleBrowser,1,0,0,31,0,2
JDBM,1,FastIterator,1,0,0,18,0,1
JDBM,1,CrashTest,3,0,0,96,0.6666666667,2
JDBM,1,Serializer0,1,0,0,17,1,2
JDBM,1,MRUEnumeration,4,1,2,124,0.6,4
JDBM,1,CacheEntry,2,1,6,70,0.9166666667,11
JDBM,1,ICacheOrderChangeListener,1,0,0,4,1,1
JDBM,1,TestBucket,7,0,0,147,0.5,1
JDBM,1,HashDirectory,5,1,1,503,0,12
JDBM,1,LongSet,1,1,0,20,0,0
JDBM,1,DumpUtility,30,2,5,2683,0.1666666667,23
JDBM,1,TestBufferedRecordInstallManager,20,0,1,1391,0.1428571429,27
JDBM,1,LongKeyMapIterator,0,0,0,89,0,5
JDBM,1,StringTable,7,0,2,429,0.2,9
JDBM,1,TranslationPage,5,2,1,42,0,2
JDBM,1,TestFreeLogicalRowIdPage,6,0,0,72,0,3
JDBM,1,PhysicalRowId,2,0,1,56,0,5
JDBM,1,RecordCache,0,0,0,29,0,4
JDBM,1,TestFreePhysicalRowId,3,0,0,33,0,2
JDBM,1,BPage,10,1,1,1423,0.1,29
JDBM,1,MRU,8,1,1,344,0.0588235294,16
JDBM,1,ValueCollection,1,0,0,53,1,4
JDBM,1,LongSerializer,2,1,0,52,0,2
JDBM,1,IntegerSerializer,2,1,0,52,0,2
JDBM,1,KeySet,3,3,0,60,1,5
JDBM,1,MyDataInputStream,0,0,0,13,1,1
JDBM,1,FreeLogicalRowIdPage,6,2,1,117,0,11
JDBM,1,EmptyBrowser,2,1,0,19,0.6666666667,2
JDBM,1,MyDataOutputStream,0,0,0,13,1,1
JDBM,1,FreePhysicalRowId,3,1,1,28,0,2
JDBM,1,TestRecordFile,3,0,1,186,0.4,9
JDBM,1,Magic,0,0,0,38,0,0
JDBM,1,Entry,0,0,1,26,1,3
JDBM,1,Serializer0,3,0,0,46,0.6666666667,2
JDBM,1,TestMRU,9,1,0,662,0.1538461538,12
JDBM,1,ExtensibleSerializer,15,0,1,195,0.3,9
JDBM,1,FreePhysicalRowIdPageManager,9,0,1,105,0,2
JDBM,1,FloatSerializer,2,1,0,30,0.6666666667,2
JDBM,1,BaseRecordManager,17,1,1,721,0.1153846154,25
JDBM,1,Tuple,0,0,2,72,0,4
JDBM,1,DefaultSerializer,3,1,0,54,0,2
JDBM,1,Location,2,0,2,95,0.25,7
JDBM,1,RecordData,0,0,1,17,1,1
JDBM,1,TestStress,8,0,1,230,0.625,7
JDBM,1,MyClassSerializer,3,1,0,16,0.6666666667,2
JDBM,1,MyClass,1,0,1,13,0.6666666667,2
JDBM,1,TestSoftCache,7,1,0,232,0.25,7
JDBM,1,TestByteSerializer,1,0,1,48,0,1
JDBM,1,TestCharacterSerializer,1,0,1,48,0,1
JDBM,1,LongKeyChainedHashMap,12,2,1,820,0.8,19
JDBM,1,ThrowingListener,3,1,1,27,0,1
JDBM,1,LongIterator,0,0,0,56,0,3
JDBM,1,BTree,10,0,2,848,0.09375,31
JDBM,1,CountingListener,3,1,2,65,0,5
JDBM,1,BlockIo,1,0,2,256,0.1304347826,22
JDBM,1,Conversion,0,0,1,311,0.2608695652,22
JDBM,1,Exceptions,1,0,0,155,0.9230769231,12
JDBM,1,RecordManagerProvider,1,0,0,25,0,1
JDBM,1,ExtensibleSerializerSingleton,3,1,0,85,0.4,4
JDBM,1,DefaultSerializationHandler,3,1,0,28,0.4,4
JDBM,1,TestExtensibleSerializer,13,0,1,348,0.25,11
JDBM,1,RMDirectBatchInsertPerfTest,2,1,2,27,0.75,3
JDBM,1,CachePolicy,3,0,0,118,0,8
