"Project","Segment","SRG","S","CBO","DIT","ILCOM","LOC","LOD","NOM"
"COUVERJURE",8,2,698,3.61078998073218,1.15221579961464,0.292870905587669,29812,0.865007254418112,3.44123314065511
"NUGRAMSERVER-CLIENTS",8,2,616,2.65,0.2,0.85,2913,0.4690800866,6.8
"YES-WIZARD",8,2,657,1.86666666666667,0.333333333333333,0.4,780,0.334848484933333,3.73333333333333
"YES-PUBLISH",8,2,630,3.30612244897959,0.306122448979592,1.08163265306122,2566,0.664745893795918,5.36734693877551
"MOCK-NS",8,2,712,1.04545454545455,0,0.545454545454545,859,0,1.54545454545455
"DESKTOP-KIT",9,2,882,0.8,0,1.56,4519,0.1811851852,8.08
"GENIE-CONNECTOR",9,2,859,3.34782608695652,0.108695652173913,1.02173913043478,9243,0.721067579826087,5.04347826086957
"OPENCREDO-CLOUD-STORAGE",9,2,820,1.08823529411765,0.294117647058824,0.5,1229,0.315896358558824,1.88235294117647
"CHAT-SERVER",9,2,806,3,0.615384615384615,1,459,0.914529914538462,3.07692307692308
"JAVA-FATHOM",9,2,811,1,0,0.666666666666667,549,0.717261904833333,4.66666666666667
"XOR",9,2,800,2.44827586206897,0.379310344827586,0.413793103448276,1455,0.447131478137931,2.93103448275862
"MAVEN-TRAP",9,2,788,1.5,0.5,0.8,808,0.8273809523,6.8
"DSS",10,2,1016,0.769230769230769,0.307692307692308,0.923076923076923,4651,0.864812271,16.2307692307692
"G414-HASH",10,2,1075,2.20754716981132,0.30188679245283,1,5703,0.615868722490566,5.05660377358491
"POOL-NG",10,2,947,2.46,0.14,1.04,3878,0.69647122236,7.5
"MDBCORE",10,2,1085,3.75510204081633,0.163265306122449,1.6530612244898,7073,0.876289685918367,8.38775510204082
"GEO-IP",10,2,964,1.5,0,1.07142857142857,16621,0.860989011,3.71428571428571
"JAVA-ACTOR",10,2,998,2.52941176470588,0.529411764705882,0.764705882352941,1082,0.293557423,3.58823529411765
"JAVA-CCNG",10,2,986,3.54922279792746,0.471502590673575,0.746113989637306,21204,0.792138131626943,5.40932642487047
"ANDROID-UTILS",11,2,1194,0.222222222222222,0,0,539,0.944444444444444,2.66666666666667
"GMAVEN",11,2,1245,3.46923076923077,1.28846153846154,0.688461538461538,19493,0.702692904530769,3.88461538461538
"LOG4COUCH",11,2,1206,0,0,0.5,165,0.45,5.5
"PERSONAL",11,2,1127,0.50561797752809,0.134831460674157,0.449438202247191,8773,0.773319065483146,3.34831460674157
"TODO-LIST",11,2,1154,1.625,0.125,0.75,1058,0.3559027778125,3.3125
"JCM",11,2,1227,2.1328125,0,2.3828125,13225,0.0048828125,6.015625
"CRADIATOR-TEAM-CITY-PLUGIN",11,2,1263,1.75,0,2.25,364,1,10.25
"RAINBOWDUINO",12,2,1273,0.75,0.25,0.75,502,0.804054054,9.25
"DOCBOOK-PLUGIN",12,2,1331,0.142857142857143,0.142857142857143,2,1012,0.644805194857143,3.85714285714286
"FMUTILS",12,2,1385,1.1,0.7,0.8,1387,0.8875882889,7.8
"SLIMTIMER4J",12,2,1344,2.69230769230769,0.0769230769230769,2.53846153846154,822,0.957013574692308,7.38461538461539
"LESSC-2-JAVA",12,2,1411,1,0,1.8,426,0.9555555556,7
"CAMPYRE",12,2,1440,3.83783783783784,0.0810810810810811,0.702702702702703,3508,0.981981981972973,6.10810810810811
"LOGDOC",12,2,1426,1.79591836734694,0.469387755102041,1.06122448979592,2576,0.771913007632653,4.89795918367347
"EXECUTABLE-WAR",13,3,1521,0,0,2,195,0.727272727,10
"TV-SERIES-NZB",13,3,1581,2.22727272727273,0.159090909090909,1.56818181818182,2192,0.996022727272727,5.11363636363636
"VOX-ATTENDANT",13,3,1560,3.03703703703704,0.296296296296296,0.833333333333333,11352,0.626185588203704,10.3333333333333
"TC",13,3,1480,4.23221757322176,0.468619246861925,0.393305439330544,18656,0.888538020069038,3.74058577405858
"RSS-TO-WRITTER",13,3,1618,2.58620689655172,0.0344827586206897,1.75862068965517,1503,1,4.89655172413793
"LZMA-JAVA",13,3,1615,1.96875,0.1875,0.9375,4585,0.9318181818125,5.75
"JINTEROP-PROXY",13,3,1590,1,0,0.5,177,0.6785714285,3.5
"CONGRESS-ANDROID",14,3,1738,3.99382716049383,0.209876543209877,0.425925925925926,13769,0.966749647555556,5.41975308641975
"NEWSCLIPS",14,3,1654,0.444444444444444,0.111111111111111,2.33333333333333,2215,0.836966490333333,7.55555555555556
"MDB-POSTGRESQL",14,3,1679,0.666666666666667,0,0.333333333333333,355,0.516666666666667,4.33333333333333
"MRG-SANDBOX",14,3,1651,0.5,0,0.5,252,0.952380952333333,3
"MINT",14,3,1696,1.72972972972973,0.243243243243243,0.891891891891892,8287,0.769163577405405,7.02702702702703
"FPFF",14,3,1798,0.8,0,1.6,2102,0.4566666666,13.4
"EDU",14,3,1718,1.59177215189873,0.259493670886076,0.617088607594937,11366,0.849957575844937,3.38924050632911
"TWITLOGIC",15,3,1862,3.76538461538462,0.65,0.761538461538461,16169,0.573836545107692,3.29230769230769
"DADA",15,3,1944,3.88990825688073,0.536697247706422,0.862385321100917,24665,0.964827538178899,5.02293577981651
"AREENA-FEED",15,3,1967,3.025,0.25,1.6,4687,0.447623356475,5.225
"TCX-2-NIKE-PLUS",15,3,1882,2.51515151515152,0.151515151515152,2.56060606060606,14521,0.312908850409091,5.9469696969697
"JDOCTEST",15,3,1890,1.6,0.0666666666666667,1.46666666666667,3515,0.438265107266667,6.6
"SIGNATURES",15,3,1864,2.8433734939759,0.228915662650602,0.72289156626506,7620,0.894553538819277,6.04819277108434
"JXIRR",15,3,1830,1.75,0.125,0.375,754,0.083333333375,2.25
"JTTY",16,3,2144,0,0,0,58,1,1
"I-HAZ-TECH-CODEZ",16,3,2113,0.6,0,0.2,695,0.316666666666667,3.13333333333333
"ABNF-2-REGEX",16,3,2134,0.363636363636364,0,0.181818181818182,1731,0.0761019284545455,7.81818181818182
"SNAILBUCKET-WEBAPP",16,3,2154,2.48837209302326,0.13953488372093,1.76744186046512,5038,0.916297164860465,7.37209302325581
"JAVA-ROGUELIKE",16,3,2061,2.5,0.416666666666667,1.02777777777778,985,1,3.55555555555556
"GUJ-COM-BR",16,3,2167,4.86504424778761,0.488938053097345,1.32079646017699,50833,0.42105889179646,6.88938053097345
"CSS-SELECTORS",17,3,2216,3.62857142857143,0.342857142857143,0.628571428571429,3559,0.151428571428571,3.85714285714286
"GEO-DB",17,3,2223,1.31578947368421,0.315789473684211,0.578947368421053,2601,0.952005012526316,8.52631578947368
"EPUB-LIB",17,3,2255,3.82941176470588,0.282352941176471,1,20307,0.670707223605882,6.30588235294118
"WAVE",17,3,2250,0,0,0,154,1,2
"CLOJURE",17,3,2295,2.1,0.75,1.15,1627,0.87857142855,3.2
"CDKPCORE",17,3,2292,0.333333333333333,0,2.33333333333333,918,0.855472013333333,13.3333333333333
"JAVA-ISDS",17,3,2329,4.0625,0.25,1.7375,5141,0.6510255204125,5.65
"ANDROID-STOPWATCH",18,3,2372,1.4,0,1.2,434,0.7132352942,7.4
"ERJANG",18,3,2364,7.01077586206897,0.987068965517241,1.13146551724138,82376,0.868286062851293,8.74784482758621
"WELLY-NEWS",18,3,2424,2.38842975206612,0.256198347107438,1.10743801652893,12339,0.997933884297521,4.46280991735537
"JAVAUTIL",18,3,2431,2.30526315789474,1.40526315789474,0.410526315789474,16733,0.629637528442105,5.55263157894737
"LIFE-COUNTER",18,3,2348,1.45454545454545,0.136363636363636,0.636363636363636,1656,0.896775383681818,4.31818181818182
"RESTFULIE-JAVA",18,3,2351,2.03225806451613,0.23963133640553,0.580645161290323,9211,0.690001048391705,4.26267281105991
"VORLESUNG-SE2-DHBW",18,3,2403,1.4320987654321,0.530864197530864,0.271604938271605,1694,0.968449931419753,2.12345679012346
"VRAPTOR",19,3,2658,3.76510832383124,0.3557582668187,0.669327251995439,36866,0.783839794709236,3.59977194982896
"WEBDOMAIN-INFO-CRAWLER",19,3,2534,1.45454545454545,0.136363636363636,0.772727272727273,853,0.463239538318182,2
"IRCCAT",19,3,2693,0,0,0.666666666666667,94,1,3.33333333333333
"MIDIDUINO",19,3,2599,3.08720930232558,0.372093023255814,1.12209302325581,67679,0.634329022639535,15.4418604651163
"HSTEMPO-ANDROID",19,3,2581,0,0,2,414,0.111111111,8
"AVRO",19,3,2636,4.87861271676301,0.393063583815029,0.755298651252408,100623,0.723895010655106,5.25529865125241
"ATOMIFY",19,3,2606,4.45631067961165,0.601941747572815,0.854368932038835,8994,0.821697344165049,6.44660194174757
"Frantic",1,1,0,1.35,0.15,3.4,2625,0.5475469925,10
"AccelService",1,1,0,0,0,0,62,1,2
"Githubconstent",1,1,0,0.75,0,0.5,178,1,1.5
"gitdemo",1,1,0,0,0,0,43,0.25,1.5
"Paradigm-Test",1,1,0,0.75,0.75,0,28,1,1.25
"adito-VDA",2,1,3,5.7096981374438,1.10468850353243,1.16441875401413,188177,0.576919445220938,6.52601156069364
